Country,Total,Beer,Wine,Spirits,Other,Continent
New Zealand,9.62,4.09,3.04,1.37,0.81,Australia
Nicaragua,5.37,1.13,0.03,2.55,0,North America
Niger,0.34,0.05,0.01,0.03,0,Africa
Nigeria,12.28,0.54,0.01,0.02,9.17,Africa
Niue,9.85,4.63,0.11,2.95,0,Australia
Norway,7.81,2.98,2,1.28,0.11,Europe
Oman,0.94,0.27,0,0.39,0,Asia
Pakistan,0.06,0,0,0,0.01,Asia
Palau,10.1,8.68,0.52,2.1,0,Australia
Panama,6.85,3.71,0.22,1.91,0.01,South America
Papua New Guinea,3.49,0.57,0.02,0.9,0,Australia
Paraguay,7.88,3.48,0.97,1.77,0.19,South America
Peru,6.9,2.16,0.32,0.61,0,South America
Philippines,6.38,1.29,0.02,2.91,0,Asia
Poland,13.25,5.27,1.23,2.97,0,Europe
Portugal,14.55,3.75,6.65,1.27,0.51,Europe
Puerto Rico,5.75,3.68,0.34,1.35,0.05,North America
Qatar,1.25,0.04,0.11,0.73,0.01,Asia
Republic of the Congo,4.2,1.76,0,0.11,0.12,Africa
Romania,15.3,4.07,2.33,4.14,0,Europe
Russia,13.5,3.65,0.1,6.88,0.34,Asia
Rwanda,9.8,0.54,0,0.01,6.44,Africa
Saint Kitts and Nevis,9.43,3.98,0.18,6,0.1,North America
Saint Lucia,11.85,3.49,0.71,8.21,0.31,South America
Saint Vincent and the Grenadines,5.44,2.55,0.12,3.16,0.05,South America
Samoa,4.8,3.31,0.08,0.24,0,Australia
Sao Tome and Principe,8.74,1.12,3.4,0.83,0,Africa
Saudi Arabia,0.25,0,0,0.05,0,Asia
Senegal,0.6,0.15,0.12,0.01,0,Africa
Serbia,11.09,4.4,2.21,3.42,0.04,Europe
Seychelles,10.59,7.15,3.15,1.59,0,Africa
Sierra Leone,9.72,0.46,0.01,0.02,6.06,Africa
Singapore,1.55,1.45,0.25,0.4,0,Asia
Slovakia,13.33,3.9,1.7,5.4,0,Europe
Slovenia,15.19,4.1,5.1,1.33,0,Europe
Solomon Islands,1.66,0.66,0.03,0.4,0,Australia
Somalia,0.1,0,0,0,0,Africa
South Africa,9.46,3.93,1.17,1.15,0.75,Africa
South Korea,14.8,2.14,0.06,9.57,0.04,Asia
Spain,11.62,4.52,3.59,1.31,0.61,Europe
Sri Lanka,0.79,0.02,0,0.33,0,Asia
Sudan,2.38,0.52,0.09,0.79,0.05,Africa
Suriname,6.09,2,0.13,3.26,0.05,South America
Swaziland,5.7,1.64,0.21,0.15,3.05,Africa
Sweden,10.3,2.6,2.9,1.1,0,Europe
 Switzerland,11.06,3.1,5.1,1.8,0.1,Europe
Syria,1.43,0.04,0.32,0.69,0,Asia
Tajikistan,3.39,0.08,0.02,0.29,0,Asia
Tanzania,6.75,0.57,0.02,0.15,4.51,Africa
Thailand,7.08,1.75,0.02,4.69,0,Asia
Timor-Leste,0.86,0.3,0.01,0,0,Australia
Togo,1.99,0.43,0.32,0.06,0.22,Africa
Tonga,3.78,0.89,2.29,0.64,0.18,Australia
Trinidad and Tobago,6.28,3.1,0.11,2.78,0.04,South America
Tunisia,1.29,0.67,0.34,0.04,0,Africa
Turkey,2.87,0.78,0.07,0.46,0,Asia
Turkmenistan,4.63,0.21,0.9,1.22,0,Asia
Tuvalu,2.44,0.71,0.02,0.58,0,Australia
Uganda,11.93,0.51,0,0.18,14.52,Africa
Ukraine,15.6,2.69,0.58,5.21,0.02,Europe
United Arab Emirates,0.54,0.3,0.01,0,0.02,Asia
United Kingdom,13.37,4.93,3.53,2.41,0.67,Europe
United States,9.44,4.47,1.36,2.65,0,North America
Uruguay,8.14,1.33,3.95,1.21,0.06,South America
Uzbekistan,3.54,0.28,0.19,1.3,0,Asia
Vanuatu,0.93,0.46,0.19,0.19,0,Australia
Venezuela,8.23,5.19,0.07,1.65,0,South America
Vietnam,3.77,1.13,0.01,0.02,0,Asia
Yemen,0.02,0,0,0,0,Asia
Zambia,3.85,0.42,0.01,0.27,1.62,Africa
Zimbabwe,5.08,0.96,0.19,0.06,2.61,Africa
